Name of the road segment,Number of cars
RrugaB_MaxiMarket,
RrugaB_BibajSport,
Menza_MAShTI_Menza,
Menza_MAShTI_FakultetiEkonomik,
Menza_MAShTI_Parlamenti,2
Menza_MAShTI_KarlGega,
KarlGega_MAShTI_Menza,
KarlGega_MAShTI_FakultetiEkonomik,
KarlGega_MAShTI_Parlamenti,
Parlamenti_MAShTI_Parlamenti,
Parlamenti_MAShTI_KarlGega,
Parlamenti_MAShTI_Menza,1
Parlamenti_MAShTI_FakultetiEkonomik,
FakultetiEkonomik_MAShTI_Parlamenti,
FakultetiEkonomik_MAShTI_KarlGega,
FakultetiEkonomik_MAShTI_Menza,
MAShTI_KarlGega,
MAShTI_FakultetiEkonomik,
XhamiaLlapitTregu_Parlamenti_IbrahimLutfiu,0
XhamiaLlapitTregu_Parlamenti_MAShTI,0
MAShTI_Parlamenti_XhamiaLlapitTregu,0
MAShTI_Parlamenti_IbrahimLutfiu,1
IbrahimLutfiu_Parlamenti_MAShTI,0
IbrahimLutfiu_Parlamenti_XhamiaLlapitTregu,0
Parlamenti_IbrahimLutfiu,
Parlamenti_XhamiaLlapitTregu_LidhjaPrizrenit,0
Parlamenti_XhamiaLlapitTregu_XhamiaLlapit,2
Parlamenti_XhamiaLlapitTregu_MetoBajraktari,0
LidhjaPrizrenit_XhamiaLlapitTregu_XhamiaLlapit,
LidhjaPrizrenit_XhamiaLlapitTregu_MetoBajraktari,
LidhjaPrizrenit_XhamiaLlapitTregu_Parlamenti,
MetoBajraktari_XhamiaLlapitTregu_Parlamenti,
MetoBajraktari_XhamiaLlapitTregu_LidhjaPrizrenit,
MetoBajraktari_XhamiaLlapitTregu_XhamiaLlapit,
XhamiaLlapit_XhamiaLlapitTregu_MetoBajraktari,
XhamiaLlapit_XhamiaLlapitTregu_Parlamenti,1
XhamiaLlapit_XhamiaLlapitTregu_LidhjaPrizrenit,
XhamiaLlapitTregu_LidhjaPrizrenit,
XhamiaLlapitTregu_MetoBajraktari,
XhamiaLlapitTregu_XhamiaLlapit_LidhjaLezhes,
XhamiaLlapitTregu_XhamiaLlapit_Tjegullorja,
XhamiaLlapitTregu_XhamiaLlapit_VellezeritFazliu,
XhamiaLlapitTregu_XhamiaLlapit_Makovc,
LidhjaLezhes_XhamiaLlapit_Tjegullorja,1
LidhjaLezhes_XhamiaLlapit_VellezeritFazliu,
LidhjaLezhes_XhamiaLlapit_Makovc,
LidhjaLezhes_XhamiaLlapit_XhamiaLlapitTregu,
Tjegullorja_XhamiaLlapit_VellezeritFazliu,1
Tjegullorja_XhamiaLlapit_Makovc,
Tjegullorja_XhamiaLlapit_XhamiaLlapitTregu,
Tjegullorja_XhamiaLlapit_LidhjaLezhes,
VellezeritFazliu_XhamiaLlapit_Makovc,
VellezeritFazliu_XhamiaLlapit_XhamiaLlapitTregu,
VellezeritFazliu_XhamiaLlapit_LidhjaLezhes,
VellezeritFazliu_XhamiaLlapit_Tjegullorja,
Makovc_XhamiaLlapit_XhamiaLlapitTregu,
Makovc_XhamiaLlapit_LidhjaLezhes,
Makovc_XhamiaLlapit_Tjegullorja,
Makovc_XhamiaLlapit_VellezeritFazliu,
XhamiaLlapit_Makovc,
XhamiaLlapit_LidhjaLezhes,
XhamiaLlapit_VellezeritFazliu,
IsmetKrasniqi_Vranjefc_AzizZhilivoda,
IsmetKrasniqi_Vranjefc_Bardhosh,3
AzizZhilivoda_Vranjefc_Bardhosh,
AzizZhilivoda_Vranjefc_IsmetKrasniqi,
Bardhosh_Vranjefc_IsmetKrasniqi,1
Bardhosh_Vranjefc_AzizZhilivoda,
Vranjefc_IsmetKrasniqi,
Vranjefc_Bardhosh,
Vranjefc_AzizZhilivoda,
XhamiaLlapit_Tjegullorja_Vushtrria,
XhamiaLlapit_Tjegullorja_Zagrebi,2
XhamiaLlapit_Tjegullorja_Plava,
Zagrebi_Tjegullorja_Plava,
Zagrebi_Tjegullorja_XhamiaLlapit,
Zagrebi_Tjegullorja_Vushtrria,
Plava_Tjegullorja_XhamiaLlapit,
Plava_Tjegullorja_Vushtrria,
Plava_Tjegullorja_Zagrebi,
Vushtrria_Tjegullorja_Zagrebi,
Vushtrria_Tjegullorja_Plava,
Vushtrria_Tjegullorja_XhamiaLlapit,
Tjegullorja_Zagrebi,
Tjegullorja_Vushtrria,
Tjegullorja_Plava,
Katedralja_PTK_Katedralja,
Katedralja_PTK_ImzotNikeprela,
Katedralja_PTK_BulevardiDK,
Katedralja_PTK_28Nentori,
BulevardiDK_PTK_BulevardiDK,
BulevardiDK_PTK_28Nentori,
BulevardiDK_PTK_Katedralja,
BulevardiDK_PTK_ImzotNikeprela,
ImzotNikeprela_PTK_BulevardiDK,
ImzotNikeprela_PTK_28Nentori,
ImzotNikeprela_PTK_Katedralja,
28Nentori_PTK_Katedralja,
28Nentori_PTK_ImzotNikeprela,
28Nentori_PTK_BulevardiDK,
PTK_ImzotNikeprela,
PTK_28Nentori,
PTK_BulevardiDK,
UCK_Lulishtja_FehmiAgani,
UCK_Lulishtja_Tirana,
UCK_Lulishtja_KolegjiRiinvest,
Tirana_Lulishtja_KolegjiRiinvest,1
Tirana_Lulishtja_UCK,1
Tirana_Lulishtja_FehmiAgani,1
KolegjiRiinvest_Lulishtja_UCK,
KolegjiRiinvest_Lulishtja_FehmiAgani,
KolegjiRiinvest_Lulishtja_Tirana,
FehmiAgani_Lulishtja_Tirana,
FehmiAgani_Lulishtja_KolegjiRiinvest,
FehmiAgani_Lulishtja_UCK,
Lulishtja_FehmiAgani,
Lulishtja_UCK,
Lulishtja_KolegjiRiinvest,
Lulishtja_Tirana,
LuanHaradinaj_BQK_LuanHaradinaj,
LuanHaradinaj_BQK_Grandi,
LuanHaradinaj_BQK_UkshinHoti,
LuanHaradinaj_BQK_Garibaldi,
UkshinHoti_BQK_UkshinHoti,
UkshinHoti_BQK_Garibaldi,
UkshinHoti_BQK_LuanHaradinaj,
Garibaldi_BQK_Garibaldi,
Garibaldi_BQK_LuanHaradinaj,
Garibaldi_BQK_Grandi,
Garibaldi_BQK_UkshinHoti,
Grandi_BQK_Grandi,
Grandi_BQK_UkshinHoti,
Grandi_BQK_Garibaldi,
BQK_Garibaldi,
BQK_UkshinHoti,
BQK_Grandi,
BQK_LuanHaradinaj,
MuharremFejza_Eulexi_MuharremFejza,
MuharremFejza_Eulexi_ErnestKoliqi,
MuharremFejza_Eulexi_ArbenorEAstritDehari,2
ErnestKoliqi_Eulexi_ArbenorEAstritDehari,
ErnestKoliqi_Eulexi_MuharremFejza,3
ArbenorEAstritDehari_Eulexi_ArbenorEAstritDehari,
ArbenorEAstritDehari_Eulexi_MuharremFejza,5
ArbenorEAstritDehari_Eulexi_ErnestKoliqi,
Eulexi_ArbenorEAstritDehari,
Eulexi_ErnestKoliqi,
Eulexi_MuharremFejza,
Katedralja_Menza_Katedralja,
Katedralja_Menza_MAShTI,
Katedralja_Menza_Qerimi,
Katedralja_Menza_Teknik,
Teknik_Menza_Teknik,
Teknik_Menza_Katedralja,
Teknik_Menza_MAShTI,3
Teknik_Menza_Qerimi,
Qerimi_Menza_Qerimi,
Qerimi_Menza_Teknik,
Qerimi_Menza_Katedralja,
Qerimi_Menza_MAShTI,1
MAShTI_Menza_MAShTI,
MAShTI_Menza_Qerimi,
MAShTI_Menza_Teknik,1
MAShTI_Menza_Katedralja,
HotelAdria_KomunaRe_Cacttus,
HotelAdria_KomunaRe_AhmetKrasniqi,2
HotelAdria_KomunaRe_FeridCurri,
AhmetKrasniqi_KomunaRe_FeridCurri,
AhmetKrasniqi_KomunaRe_HotelAdria,2
AhmetKrasniqi_KomunaRe_Cacttus,
Cacttus_KomunaRe_AhmetKrasniqi,
Cacttus_KomunaRe_FeridCurri,
Cacttus_KomunaRe_HotelAdria,
FeridCurri_KomunaRe_HotelAdria,
FeridCurri_KomunaRe_Cacttus,
FeridCurri_KomunaRe_AhmetKrasniqi,
KomunaRe_AhmetKrasniqi,
KomunaRe_Cacttus,
KomunaRe_HotelAdria,
KomunaRe_FeridCurri,
BillClinton_Lakrishte_TahirZajmi,5
TahirZajmi_Lakrishte_BillClinton,3
Lakrishte_TahirZajmi_TerminaliDoganor,13
TerminaliDoganor_TahirZajmi_Lakrishte,11
TahirZajmi_TerminaliDoganor_TahirZajmi,
TahirZajmi_TerminaliDoganor_DeshmoretEPonoshecit,3
TahirZajmi_TerminaliDoganor_TreguIMadh,3
DeshmoretEPonoshecit_TerminaliDoganor_TreguIMadh,1
DeshmoretEPonoshecit_TerminaliDoganor_TahirZajmi,3
TreguIMadh_TerminaliDoganor_TahirZajmi,3
TreguIMadh_TerminaliDoganor_DeshmoretEPonoshecit,4
TerminaliDoganor_DeshmoretEPonoshecit,
TerminaliDoganor_TreguIMadh_TerminaliDoganor,
TerminaliDoganor_TreguIMadh_KlanKosova,1
TerminaliDoganor_TreguIMadh_ElezBerisha,8
KlanKosova_TreguIMadh_ElezBerisha,9
KlanKosova_TreguIMadh_TerminaliDoganor,11
ElezBerisha_TreguIMadh_TerminaliDoganor,15
ElezBerisha_TreguIMadh_KlanKosova,4
TreguIMadh_KlanKosova,
TreguIMadh_ElezBerisha_TreguIMadh,
TreguIMadh_ElezBerisha_Interex,
TreguIMadh_ElezBerisha_RrugaEUglarit,13
Interex_ElezBerisha_RrugaEUglarit,2
Interex_ElezBerisha_TreguIMadh,
RrugaEUglarit_ElezBerisha_TreguIMadh,11
RrugaEUglarit_ElezBerisha_Interex,2
ElezBerisha_Interex,
ElezBerisha_RrugaEUglarit_KompleksiLinda3,2
ElezBerisha_RrugaEUglarit_ElezBerisha,
ElezBerisha_RrugaEUglarit_HajrullahZymi,9
KompleksiLinda3_RrugaEUglarit_HajrullahZymi,1
KompleksiLinda3_RrugaEUglarit_ElezBerisha,2
HajrullahZymi_RrugaEUglarit_ElezBerisha,2
HajrullahZymi_RrugaEUglarit_KompleksiLinda3,2
RrugaEUglarit_KompleksiLinda3,
RrugaEUglarit_HajrullahZymi_RrethiRrugaEPejes,8
RrugaEUglarit_HajrullahZymi_Dardania,
Dardania_HajrullahZymi_RrugaEUglarit,
Dardania_HajrullahZymi_RrethiRrugaEPejes,
RrethiRrugaEPejes_HajrullahZymi_RrethiRrugaEPejes,1
RrethiRrugaEPejes_HajrullahZymi_Dardania,3
RrethiRrugaEPejes_HajrullahZymi_RrugaEUglarit,7
HajrullahZymi_RrethiRrugaEPejes,
HajrullahZymi_Dardania,
